stop_id,stop_name,stop_code,zone_id
"6315","Lincoln Av & Paru St","53158","E"
"17","Broadway & Tilden Way","51545","E"
"25","Challenger Dr & Atlantic Av","58996","E"
"77","1080 Marina Village Pkwy","57507","E"
"79","1250 Marina Village Pkwy","59987","E"
"82","Marina Village Pkwy & Challenger Dr","57656","E"
"84","Marina Village Pkwy & Mariner Square Dr (N Jctn)","58177","E"
"193","Broadway & Blanding Av","58677","E"
"2035","11th St & Jefferson St","51110","E"
"2036","12th St & Broadway (12th St BART)","55557","E"
"2826","Fruitvale Av & E 9th St","58058","E"
"2843","Fruitvale BART","59000","E"
"3658","12th St & Harrison St","58858","E"
"3696","Harrison St & 8th St","50237","E"
"5336","12th & Clay St","51528","E"
"5584","1105 Atlantic Av","56707","E"
"5586","Atlantic Av & Triumph Dr","54332","E"
"5588","Buena Vista Av & Chestnut St","52545","E"
"5593","Buena Vista Av & Walnut St","56722","E"
"5594","Buena Vista Av & Willow St","53422","E"
"5612","Buena Vista Av & Park St","51727","E"
"5645","Buena Vista Av & Grand St","51737","E"
"5947","Sherman St & Buena Vista Av","52304","E"
