stop_id,stop_name,stop_code,zone_id
"6200","Broadway & 15th St","52894","E"
"17","Broadway & Tilden Way","51545","E"
"136","Santa Clara Av & 8th St","55995","E"
"140","Santa Clara Av & Bay St","55537","E"
"141","Santa Clara Av & Broadway","57733","E"
"143","Santa Clara Av & Chestnut St","55579","E"
"144","Santa Clara Av & Grand St","56661","E"
"147","Santa Clara Av & Park St","55511","E"
"150","Santa Clara Av & Stanton St","55994","E"
"153","Santa Clara Av & Willow St","51119","E"
"168","Webster St & Lincoln Av","55549","E"
"188","Webster St & Santa Clara Av","55444","E"
"193","Broadway & Blanding Av","58677","E"
"203","Webster St & Atlantic Av","59400","E"
"211","Webster St & Willie Stargell Av","50542","E"
"2305","8th St & Broadway","54222","E"
"2306","8th St & Harrison St","59222","E"
"2486","Broadway & 17th St","53335","E"
"2489","Broadway & 20th St (19th St BART)","57111","E"
"2490","Broadway & 25th St","59522","E"
"2491","Broadway & 27th St","50639","E"
"2492","Broadway & 28th St","56567","E"
"2496","Broadway & 40th St","56655","E"
"2507","Broadway & Grand Av","55771","E"
"2509","Broadway & Piedmont Av","59552","E"
"2542","College Av & Broadway","53311","E"
"2547","College Av & Lawton Av","56969","E"
"2548","College Av & Manila Av","55644","E"
"2826","Fruitvale Av & E 9th St","58058","E"
"2844","Fruitvale BART","51333","E"
"3701","Broadway & W MacArthur Blvd","50147","E"
"3720","Keith Av & College Av","50484","E"
"5231","Broadway & Mather St","50986","E"
"5315","Santa Clara Av & Walnut St","51461","E"
"5318","Santa Clara Av & Oak St","51471","E"
"5319","Santa Clara Av & Morton St","51474","E"
"5321","Santa Clara Av & Mozart St","51476","E"
"5322","Webster St & Buena Vista Av","51478","E"
"5326","Broadway & 30th St","51502","E"
"5327","Broadway & Kaiser Hospital Entrance","51503","E"
"5328","Broadway & Pleasant Valley Av","51504","E"
"6036","Broadway & 11th St (12th St BART)","52999","E"
